,Area,Inputs,Methodology_Approach,Model,Prediction_Horizon_steps,Prediction_Step_min,Problem,Traffic_Parameter,author,data_collection,date
120,Motorway,Single,Univariate,Statistical,1,1,PR,Travel_Time,Ma et al.,Simulation,2012
121,Motorway,Single,Univariate,Statistical,1,5,PR,Travel_Time,Qiao et al.,Bluetooth,2012
128,Arterial,Multiple,Univariate,NN,1,1,FA,Travel_Time,Zheng and Van Zuylen,GPS,2012
105,Motorway,Multiple,Univariate,Hybrid,1,1,TS,Volume,Abdi et al.,Detectors,2012
109,Motorway(U),Single,Univariate,Statistical,1,3,FA,Volume,Chen et al.,Detectors,2012
110,Arterial,Multiple,Univariate,Statistical,1,5,TS,Volume,Cheng et al.,Detectors,2012
113,Motorway,Single,Univariate,Statistical,1,15,TS,Volume,Guo et al.,Detectors,2012
115,Arterial,Single,Univariate,Statistical,1,60,FA,Volume,Hong,Detectors,2012
122,Network,Multiple,Multivariate,NN,1,15,PR,Volume,Sun et al.,Detectors,2012
123,Motorway,Multiple,Univariate,Statistical,5,15,TS,Volume,Tchrakian et al.,Detectors,2012
125,Arterial,Single,Univariate,Statistical,1,5,FA,Volume,Tsirigotis et al.,Detectors,2012
112,Motorway,Multiple,Multivariate,NN,1,1,FA,Volume/Speed,Dunne and Ghosh,Detectors,2012
99,Motorway(U),Multiple,Univariate,Hybrid,1,2,FA,Density,Celikoglu,Detectors,2013
102,Motorway(U),Multiple,Univariate,Hybrid,5,1,FA,Speed,Chan et al.,Detectors,2013
104,Motorway(U),Multiple,Multivariate,Hybrid,1,1,TS,Speed,Vlahogianni and Karlaftis,Detectors,2013
118,Motorway,Multiple,Univariate,NN,1,5,FA,Travel_Time,Li and Chen,Detectors/AVI,2013
103,Arterial,Single,Univariate,Statistical,1,15,TS,Volume,Guo et al.,Detectors,2013
10,Motorway(U),Multiple,Univariate,Statistical,20,1,FA,Travel_Time,Wang et al.,Simulation,2006a
71,Arterial,Single,Univariate,Hybrid,1,60,FA,Volume,Hong et al.,Detectors,2011a
85,Motorway,Single,Univariate,Statistical,1,5,FA,Volume,Zhang et al.,Detectors,2011a
72,Arterial,Single,Univariate,Hybrid,1,60,FA,Volume,Hong et al.,Detectors,2011b
106,Motorway(U),Multiple,Univariate,Statistical,1,1,FA,Speed,Chan et al.,Detectors,2012a
108,Motorway,Multiple,Univariate,Hybrid,4,15,PR,Volume,Chang et al.,Detectors,2012a
107,Motorway(U),Multiple,Univariate,NN,1,1,FA,Speed,Chan et al.,Detectors,2012b
